,CRITICAL,HIGH,MEDIUM,LOW,NEGLIGIBLE,UNKNOWN
defreitas/dns-proxy-server:latest,0,2,8,7,34,18
mongo:4.0.19,0,0,14,33,25,0
redis:6.0.6,0,0,1,8,33,12
rabbitmq:3.8.6,0,0,2,18,11,0
memcached:1.6.6,0,0,1,8,33,12
yg397/social-network-microservices:latest,0,11,207,314,50,0
yg397/openresty-thrift:xenial,0,2,75,247,41,0
yg397/media-frontend:xenial,0,15,237,421,82,0
