,CRITICAL,HIGH,MEDIUM,LOW,NEGLIGIBLE,UNKNOWN
marwin1991/dns-proxy-server:15-11-2020,0,0,1,7,31,12
mongo:latest,0,0,16,20,11,0
redis:latest,0,0,1,8,33,12
rabbitmq:latest,0,0,2,14,10,0
memcached:latest,0,0,1,8,33,12
marwin1991/social-network-microservices:15-11-2020,0,11,209,314,50,0
marwin1991/openresty-thrift:xenial-15-11-2020,0,0,32,208,38,0
marwin1991/media-frontend:xenial-15-11-2020,0,0,32,238,59,0
