,CRITICAL,HIGH,MEDIUM,LOW,NEGLIGIBLE,UNKNOWN
defreitas/dns-proxy-server:latest,0,2,8,7,34,18
mongo:latest,0,0,14,20,11,0
redis:latest,0,0,1,8,33,12
rabbitmq:latest,0,0,2,14,10,0
memcached:latest,0,0,1,8,33,12
yg397/social-network-microservices:latest,0,11,207,314,50,0
yg397/openresty-thrift:xenial,0,2,75,247,41,0
yg397/media-frontend:xenial,0,15,237,421,82,0
