19:21:31
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
19:22:22
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.37%               458.6MiB / 2GiB       22.39%              3.43kB / 2.93kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               463.6MiB / 2GiB       22.64%              5.67kB / 3.93kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.34%               458.9MiB / 6.773GiB   6.62%               37.6MB / 444kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.26%               422.3MiB / 6.773GiB   6.09%               37.6MB / 454kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.09%               17.14MiB / 6.773GiB   0.25%               66.9kB / 195kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.73%               55.82MiB / 6.773GiB   0.80%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.53%               56.3MiB / 6.773GiB    0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  48.52%              514.1MiB / 6.773GiB   7.41%               114MB / 2.43MB      0B / 0B             17
001ea55ed420        db                                                                                                     53.54%              18.94MiB / 6.773GiB   0.27%               1.16MB / 877kB      0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.055MiB / 6.773GiB   0.13%               28.5kB / 58.6kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.45%               173.4MiB / 6.773GiB   2.50%               49.6kB / 59kB       0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.10%               182.3MiB / 6.773GiB   2.63%               26.2kB / 25.9kB     0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.09%               181.3MiB / 6.773GiB   2.61%               2.34MB / 873kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 44.20%              181.5MiB / 6.773GiB   2.62%               7.94MB / 9.33MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               16.74%              190.8MiB / 6.773GiB   2.75%               1.4MB / 1.83MB      0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    5.63%               40.88MiB / 6.773GiB   0.59%               9.95MB / 9.39MB     0B / 0B             24
19:22:27
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.11%               458.6MiB / 2GiB       22.39%              3.47kB / 2.97kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.12%               463.6MiB / 2GiB       22.64%              5.76kB / 4.01kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.58%               458.9MiB / 6.773GiB   6.62%               37.6MB / 448kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.74%               422.3MiB / 6.773GiB   6.09%               37.6MB / 458kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.13%               17.14MiB / 6.773GiB   0.25%               67kB / 195kB        0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.44%               55.82MiB / 6.773GiB   0.80%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.34%               56.3MiB / 6.773GiB    0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  60.78%              514.1MiB / 6.773GiB   7.41%               116MB / 4.48MB      0B / 0B             17
001ea55ed420        db                                                                                                     56.28%              18.92MiB / 6.773GiB   0.27%               3.19MB / 2.41MB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.051MiB / 6.773GiB   0.13%               28.5kB / 58.6kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.13%               173.5MiB / 6.773GiB   2.50%               49.6kB / 59kB       0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.08%               182.4MiB / 6.773GiB   2.63%               26.2kB / 25.9kB     0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.08%               181.3MiB / 6.773GiB   2.61%               2.34MB / 873kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 7.41%               181.5MiB / 6.773GiB   2.62%               8.01MB / 9.4MB      0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               1.43%               190.8MiB / 6.773GiB   2.75%               1.41MB / 1.85MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    1.20%               40.86MiB / 6.773GiB   0.59%               10MB / 9.45MB       0B / 0B             24
19:22:31
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.11%               458.6MiB / 2GiB       22.39%              3.47kB / 2.97kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               463.6MiB / 2GiB       22.64%              5.76kB / 4.01kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.43%               458.9MiB / 6.773GiB   6.62%               37.6MB / 452kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.48%               422.3MiB / 6.773GiB   6.09%               37.6MB / 462kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.14%               17.14MiB / 6.773GiB   0.25%               67kB / 195kB        0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.43%               55.82MiB / 6.773GiB   0.80%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.39%               56.3MiB / 6.773GiB    0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  58.92%              514.6MiB / 6.773GiB   7.42%               118MB / 6.62MB      0B / 0B             17
001ea55ed420        db                                                                                                     54.64%              18.84MiB / 6.773GiB   0.27%               5.32MB / 4.03MB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.051MiB / 6.773GiB   0.13%               28.6kB / 58.6kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.11%               173.4MiB / 6.773GiB   2.50%               50.1kB / 59.7kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.15%               182.4MiB / 6.773GiB   2.63%               26.2kB / 25.9kB     0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.08%               181.3MiB / 6.773GiB   2.61%               2.34MB / 873kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 12.60%              181.4MiB / 6.773GiB   2.62%               8.15MB / 9.58MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               0.36%               190.8MiB / 6.773GiB   2.75%               1.42MB / 1.87MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    2.53%               40.87MiB / 6.773GiB   0.59%               10.2MB / 9.6MB      0B / 0B             24
19:22:35
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.54kB / 3.04kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.10%               463.6MiB / 2GiB       22.64%              5.83kB / 4.08kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.43%               458.9MiB / 6.773GiB   6.62%               37.6MB / 456kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.73%               422.3MiB / 6.773GiB   6.09%               37.6MB / 466kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.12%               17.14MiB / 6.773GiB   0.25%               67.2kB / 196kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.35%               55.88MiB / 6.773GiB   0.81%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.46%               56.32MiB / 6.773GiB   0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  59.99%              517.7MiB / 6.773GiB   7.46%               119MB / 8.72MB      0B / 0B             17
001ea55ed420        db                                                                                                     58.02%              19.05MiB / 6.773GiB   0.27%               7.45MB / 5.64MB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.051MiB / 6.773GiB   0.13%               28.6kB / 58.6kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.14%               173.5MiB / 6.773GiB   2.50%               51.5kB / 61.4kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.10%               182.4MiB / 6.773GiB   2.63%               26.2kB / 25.9kB     0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.13%               181.4MiB / 6.773GiB   2.62%               2.34MB / 873kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 17.39%              181.5MiB / 6.773GiB   2.62%               8.32MB / 9.79MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               3.25%               190.8MiB / 6.773GiB   2.75%               1.45MB / 1.9MB      0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    3.13%               41.03MiB / 6.773GiB   0.59%               10.4MB / 9.77MB     0B / 0B             24
19:22:39
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.58kB / 3.08kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.10%               463.6MiB / 2GiB       22.64%              5.83kB / 4.08kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.80%               458.9MiB / 6.773GiB   6.62%               37.6MB / 461kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.74%               422.3MiB / 6.773GiB   6.09%               37.6MB / 471kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.12%               17.14MiB / 6.773GiB   0.25%               67.3kB / 196kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.19%               55.88MiB / 6.773GiB   0.81%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.29%               56.32MiB / 6.773GiB   0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  58.92%              517.9MiB / 6.773GiB   7.47%               121MB / 10.8MB      0B / 0B             17
001ea55ed420        db                                                                                                     59.33%              18.94MiB / 6.773GiB   0.27%               9.57MB / 7.24MB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.6kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.051MiB / 6.773GiB   0.13%               28.6kB / 58.6kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.10%               173.5MiB / 6.773GiB   2.50%               51.9kB / 62.1kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.09%               182.4MiB / 6.773GiB   2.63%               26.2kB / 25.9kB     0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.11%               181.4MiB / 6.773GiB   2.62%               2.34MB / 873kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 18.14%              181.5MiB / 6.773GiB   2.62%               8.47MB / 9.97MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               2.84%               191MiB / 6.773GiB     2.75%               1.46MB / 1.91MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    3.19%               41.02MiB / 6.773GiB   0.59%               10.6MB / 9.91MB     0B / 0B             24
19:22:44
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.14%               458.6MiB / 2GiB       22.39%              3.58kB / 3.08kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.08%               463.6MiB / 2GiB       22.64%              5.83kB / 4.08kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.73%               458.9MiB / 6.773GiB   6.62%               37.6MB / 467kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 3.13%               422.3MiB / 6.773GiB   6.09%               37.6MB / 476kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.21%               17.14MiB / 6.773GiB   0.25%               67.3kB / 196kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.38%               55.88MiB / 6.773GiB   0.81%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.73%               56.32MiB / 6.773GiB   0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  58.65%              517.9MiB / 6.773GiB   7.47%               122MB / 13MB        0B / 0B             17
001ea55ed420        db                                                                                                     56.27%              19.09MiB / 6.773GiB   0.28%               11.7MB / 8.87MB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.6kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.051MiB / 6.773GiB   0.13%               28.6kB / 58.6kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.07%               173.4MiB / 6.773GiB   2.50%               52.3kB / 62.8kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.07%               182.4MiB / 6.773GiB   2.63%               26.2kB / 25.9kB     0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.07%               181.4MiB / 6.773GiB   2.61%               2.34MB / 873kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 15.99%              181.4MiB / 6.773GiB   2.62%               8.61MB / 10.2MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               2.64%               190.8MiB / 6.773GiB   2.75%               1.47MB / 1.93MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    2.73%               40.93MiB / 6.773GiB   0.59%               10.8MB / 10MB       0B / 0B             24
19:22:48
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.08%               458.6MiB / 2GiB       22.39%              3.58kB / 3.08kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.14%               463.6MiB / 2GiB       22.64%              5.83kB / 4.08kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 5.96%               458.9MiB / 6.773GiB   6.62%               37.6MB / 468kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 3.71%               422.3MiB / 6.773GiB   6.09%               37.6MB / 480kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.13%               17.14MiB / 6.773GiB   0.25%               67.7kB / 196kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               1.07%               55.88MiB / 6.773GiB   0.81%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               1.77%               56.32MiB / 6.773GiB   0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  41.70%              517.9MiB / 6.773GiB   7.47%               124MB / 14.7MB      0B / 0B             17
001ea55ed420        db                                                                                                     47.03%              19.51MiB / 6.773GiB   0.28%               13.4MB / 10.1MB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.6kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.051MiB / 6.773GiB   0.13%               28.6kB / 58.6kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.68%               173.4MiB / 6.773GiB   2.50%               53.8kB / 64.5kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.08%               182.5MiB / 6.773GiB   2.63%               26.2kB / 25.9kB     0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.08%               181.3MiB / 6.773GiB   2.61%               2.34MB / 873kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 22.70%              181.4MiB / 6.773GiB   2.62%               8.78MB / 10.4MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               4.44%               190.8MiB / 6.773GiB   2.75%               1.49MB / 1.95MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    4.54%               40.91MiB / 6.773GiB   0.59%               11MB / 10.2MB       0B / 0B             24
19:22:52
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.14%               458.6MiB / 2GiB       22.39%              3.65kB / 3.15kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               463.6MiB / 2GiB       22.64%              5.89kB / 4.14kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 3.20%               458.9MiB / 6.773GiB   6.62%               37.6MB / 475kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 3.23%               422.3MiB / 6.773GiB   6.09%               37.6MB / 485kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.13%               17.14MiB / 6.773GiB   0.25%               67.7kB / 196kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.53%               55.88MiB / 6.773GiB   0.81%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.47%               56.32MiB / 6.773GiB   0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  56.32%              517.9MiB / 6.773GiB   7.47%               125MB / 16.8MB      0B / 0B             17
001ea55ed420        db                                                                                                     55.63%              19.71MiB / 6.773GiB   0.28%               15.5MB / 11.7MB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.6kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.051MiB / 6.773GiB   0.13%               28.6kB / 58.6kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.62%               173.4MiB / 6.773GiB   2.50%               54.2kB / 65.2kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.10%               182.4MiB / 6.773GiB   2.63%               26.2kB / 25.9kB     0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.08%               181.3MiB / 6.773GiB   2.61%               2.34MB / 873kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 13.73%              181.4MiB / 6.773GiB   2.62%               8.92MB / 10.5MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               0.53%               190.8MiB / 6.773GiB   2.75%               1.51MB / 1.97MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    3.20%               40.89MiB / 6.773GiB   0.59%               11.1MB / 10.3MB     0B / 0B             24
19:22:57
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.69kB / 3.19kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.10%               463.6MiB / 2GiB       22.64%              5.93kB / 4.19kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.50%               458.9MiB / 6.773GiB   6.62%               37.6MB / 479kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.41%               422.3MiB / 6.773GiB   6.09%               37.6MB / 489kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.12%               17.14MiB / 6.773GiB   0.25%               67.7kB / 196kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               1.21%               55.8MiB / 6.773GiB    0.80%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               1.73%               56.29MiB / 6.773GiB   0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  45.99%              517.9MiB / 6.773GiB   7.47%               127MB / 18.8MB      0B / 0B             17
001ea55ed420        db                                                                                                     45.70%              19.7MiB / 6.773GiB    0.28%               17.6MB / 13.3MB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.6kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.051MiB / 6.773GiB   0.13%               28.6kB / 58.6kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.09%               173.4MiB / 6.773GiB   2.50%               54.2kB / 65.2kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.10%               182.4MiB / 6.773GiB   2.63%               26.2kB / 25.9kB     0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.08%               181.3MiB / 6.773GiB   2.61%               2.34MB / 873kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 8.59%               181.4MiB / 6.773GiB   2.62%               9.07MB / 10.7MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               0.38%               190.8MiB / 6.773GiB   2.75%               1.53MB / 2MB        0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    1.55%               40.88MiB / 6.773GiB   0.59%               11.4MB / 10.5MB     0B / 0B             24
19:23:01
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.11%               458.6MiB / 2GiB       22.39%              3.69kB / 3.19kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.10%               463.6MiB / 2GiB       22.64%              5.93kB / 4.19kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.76%               458.9MiB / 6.773GiB   6.62%               37.6MB / 483kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.49%               422.3MiB / 6.773GiB   6.09%               37.6MB / 493kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.13%               17.14MiB / 6.773GiB   0.25%               67.7kB / 196kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               1.95%               55.73MiB / 6.773GiB   0.80%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               2.08%               56.11MiB / 6.773GiB   0.81%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  50.77%              517.9MiB / 6.773GiB   7.47%               128MB / 20.7MB      0B / 0B             17
001ea55ed420        db                                                                                                     54.42%              19.61MiB / 6.773GiB   0.28%               19.5MB / 14.7MB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.6kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.051MiB / 6.773GiB   0.13%               28.6kB / 58.6kB     0B / 0B             9
