19:21:31
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
a2a48cf88c76        peer0.org1.example.com                                                                                 7.29%               458.9MiB / 6.773GiB   6.62%               37.5MB / 401kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.36%               422.3MiB / 6.773GiB   6.09%               37.6MB / 411kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.11%               17.14MiB / 6.773GiB   0.25%               65.8kB / 194kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               1.13%               55.96MiB / 6.773GiB   0.81%               131kB / 69.8kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.35%               56.73MiB / 6.773GiB   0.82%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  1.54%               513.3MiB / 6.773GiB   7.40%               113MB / 1.23MB      0B / 0B             17
001ea55ed420        db                                                                                                     0.00%               15.72MiB / 6.773GiB   0.23%               6.99kB / 5.85kB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.016MiB / 6.773GiB   0.13%               18.8kB / 35.5kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.08%               173.4MiB / 6.773GiB   2.50%               40.8kB / 47.5kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.07%               182.4MiB / 6.773GiB   2.63%               23kB / 22.2kB       0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.19%               181.4MiB / 6.773GiB   2.61%               2.33MB / 871kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 14.73%              181.7MiB / 6.773GiB   2.62%               6.39MB / 7.43MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               4.41%               190.8MiB / 6.773GiB   2.75%               1.2MB / 1.58MB      0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    4.25%               41.03MiB / 6.773GiB   0.59%               8.02MB / 7.87MB     0B / 0B             24
19:21:44
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.08kB / 2.65kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.10%               463.6MiB / 2GiB       22.64%              5.37kB / 3.69kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 5.54%               458.9MiB / 6.773GiB   6.62%               37.6MB / 408kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 15.99%              422.3MiB / 6.773GiB   6.09%               37.6MB / 418kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.15%               17.14MiB / 6.773GiB   0.25%               65.9kB / 195kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               1.99%               55.97MiB / 6.773GiB   0.81%               131kB / 69.8kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.66%               56.73MiB / 6.773GiB   0.82%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  1.52%               513.3MiB / 6.773GiB   7.40%               113MB / 1.24MB      0B / 0B             17
001ea55ed420        db                                                                                                     0.00%               15.72MiB / 6.773GiB   0.23%               6.99kB / 5.85kB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.016MiB / 6.773GiB   0.13%               18.8kB / 35.5kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.09%               173.4MiB / 6.773GiB   2.50%               41.2kB / 48.2kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.11%               182.4MiB / 6.773GiB   2.63%               23kB / 22.2kB       0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.10%               181.3MiB / 6.773GiB   2.61%               2.33MB / 871kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 17.37%              181.6MiB / 6.773GiB   2.62%               6.53MB / 7.6MB      0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               2.95%               190.7MiB / 6.773GiB   2.75%               1.22MB / 1.6MB      0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    3.75%               40.95MiB / 6.773GiB   0.59%               8.19MB / 8.01MB     0B / 0B             24
19:21:48
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.14kB / 2.71kB     0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.11%               463.6MiB / 2GiB       22.64%              5.43kB / 3.75kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 3.72%               458.9MiB / 6.773GiB   6.62%               37.6MB / 412kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 3.57%               422.3MiB / 6.773GiB   6.09%               37.6MB / 421kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.09%               17.14MiB / 6.773GiB   0.25%               65.9kB / 195kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               1.66%               55.97MiB / 6.773GiB   0.81%               131kB / 69.8kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.26%               56.73MiB / 6.773GiB   0.82%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  1.17%               513.5MiB / 6.773GiB   7.40%               113MB / 1.24MB      0B / 0B             17
001ea55ed420        db                                                                                                     0.53%               15.82MiB / 6.773GiB   0.23%               6.99kB / 5.85kB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.016MiB / 6.773GiB   0.13%               18.8kB / 35.5kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.17%               173.4MiB / 6.773GiB   2.50%               42.7kB / 49.9kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.11%               182.4MiB / 6.773GiB   2.63%               23kB / 22.2kB       0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.09%               181.3MiB / 6.773GiB   2.61%               2.33MB / 871kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 26.15%              181.6MiB / 6.773GiB   2.62%               6.7MB / 7.8MB       0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               4.88%               190.7MiB / 6.773GiB   2.75%               1.23MB / 1.62MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    2.69%               40.93MiB / 6.773GiB   0.59%               8.32MB / 8.1MB      0B / 0B             24
19:21:52
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.14%               458.6MiB / 2GiB       22.39%              3.23kB / 2.8kB      0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.19%               463.6MiB / 2GiB       22.64%              5.43kB / 3.75kB     0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.29%               458.9MiB / 6.773GiB   6.62%               37.6MB / 413kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 4.60%               422.3MiB / 6.773GiB   6.09%               37.6MB / 425kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.06%               17.14MiB / 6.773GiB   0.25%               66.2kB / 195kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               4.57%               55.98MiB / 6.773GiB   0.81%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.93%               56.73MiB / 6.773GiB   0.82%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  0.99%               513.5MiB / 6.773GiB   7.40%               113MB / 1.25MB      0B / 0B             17
001ea55ed420        db                                                                                                     0.00%               15.73MiB / 6.773GiB   0.23%               6.99kB / 5.85kB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
5a84c3fe3425        ca_orderer                                                                                             0.00%               8.926MiB / 6.773GiB   0.13%               14.5kB / 27.1kB     0B / 0B             9
f4f3aff0c60a        ca_org1                                                                                                0.00%               9.016MiB / 6.773GiB   0.13%               18.8kB / 35.5kB     0B / 0B             9
9fd9225005a6        bbdivr-anchore_analyzer_1                                                                              0.88%               173.5MiB / 6.773GiB   2.50%               43.1kB / 50.6kB     0B / 0B             10
8edf0d45e5da        bbdivr-anchore_api_1                                                                                   0.09%               182.4MiB / 6.773GiB   2.63%               23kB / 22.2kB       0B / 0B             9
64046ab15c34        bbdivr-anchore_policy-engine_1                                                                         0.09%               181.3MiB / 6.773GiB   2.61%               2.33MB / 871kB      0B / 0B             10
e466112a2db4        bbdivr-anchore_queue_1                                                                                 32.24%              181.6MiB / 6.773GiB   2.62%               6.87MB / 8.01MB     0B / 0B             18
27d4984dddf8        bbdivr-anchore_catalog_1                                                                               10.76%              190.7MiB / 6.773GiB   2.75%               1.26MB / 1.66MB     0B / 0B             20
c016d2c48e0e        bbdivr-anchore_db_1                                                                                    7.42%               40.91MiB / 6.773GiB   0.59%               8.6MB / 8.33MB      0B / 0B             24
19:21:57
CONTAINER ID        NAME                                                                                                   CPU %               MEM USAGE / LIMIT     MEM %               NET I/O             BLOCK I/O           PIDS
0f383000d887        dev-peer0.org2.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               458.6MiB / 2GiB       22.39%              3.3kB / 2.8kB       0B / 0B             24
eace4ff6047f        dev-peer0.org1.example.com-bbdivr_1-8f702d08b0e754643a3cca19a5c62efe83c1648e8e9d95211995b7d0a6d34c77   0.09%               463.6MiB / 2GiB       22.64%              5.47kB / 3.8kB      0B / 0B             26
a2a48cf88c76        peer0.org1.example.com                                                                                 2.88%               458.9MiB / 6.773GiB   6.62%               37.6MB / 421kB      0B / 0B             10
46a1d2bf98dd        peer0.org2.example.com                                                                                 2.72%               422.3MiB / 6.773GiB   6.09%               37.6MB / 430kB      0B / 0B             10
7ac0eb22a1d9        orderer.example.com                                                                                    0.16%               17.14MiB / 6.773GiB   0.25%               66.3kB / 195kB      0B / 0B             10
a2f080d03dc6        couchdb0                                                                                               0.58%               55.98MiB / 6.773GiB   0.81%               131kB / 69.9kB      0B / 0B             31
935ab172f170        couchdb1                                                                                               0.52%               56.73MiB / 6.773GiB   0.82%               130kB / 67.6kB      0B / 0B             31
1465e9a5e36a        clair                                                                                                  1.04%               513.6MiB / 6.773GiB   7.40%               113MB / 1.26MB      0B / 0B             17
001ea55ed420        db                                                                                                     0.00%               15.72MiB / 6.773GiB   0.23%               6.99kB / 5.85kB     0B / 0B             9
d733bdecfa37        ca_org2                                                                                                0.00%               7.992MiB / 6.773GiB   0.12%               18.9kB / 35.3kB     0B / 0B             9
