,CRITICAL,HIGH,MEDIUM,LOW,NEGLIGIBLE,UNKNOWN
debian-stable-20200414,0,1,6,20,39,26
debian-stable-20190910,0,2,11,10,37,19
debian-stable-20190122,0,9,11,25,34,40
