,CRITICAL,HIGH,MEDIUM,LOW,NEGLIGIBLE,UNKNOWN
postgres:9.6.20 2020-11-13,0,0,1,15,49,39
postgres:9.6.17 2020-05-14,0,1,28,21,53,61
postgres:9.6.18 2020-08-05,0,0,22,21,53,54
postgres:9.6.16 2020-02-02,0,2,45,28,60,87
postgres:9.6.15 2019-10-17,0,3,46,28,60,89
postgres:9.6.14 2019-07-18,0,7,62,35,63,104
postgres:9.6.13 2019-06-11,0,8,63,36,63,105
postgres:9.6.12 2019-05-08,0,9,64,36,63,107
postgres:9.6.11 2019-02-07,0,16,72,41,63,117
postgres:9.6.10 2018-10-16,0,23,105,53,66,162
